assembly_name,organism,db,category,value
aegilops_tauschii,Aegilops tauschii,ASM34733v1,PLANTS,ASM34733v1
amborella_trichopoda,Amborella trichopoda,AMTR1.0,PLANTS,AMTR1.0
arabidopsis_lyrata,Arabidopsis lyrata,v.1.0,PLANTS,Alyr_1.0
arabidopsis_thaliana,Arabidopsis thaliana,TAIR10,PLANTS,TAIR10
beta_vulgaris,Beta vulgaris,RefBeet-1.2.2,PLANTS,RefBeet1.2.2
brachypodium_distachyon,Brachypodium distachyon,v1.0,PLANTS,Brach_dist_v1.0
brassica_napus,Brassica napus,AST_PRJEB5043_v1,PLANTS,AST_PRJEB5043_v1
brassica_oleracea,Brassica oleracea,v2.1,PLANTS,BOL_v2.1
brassica_rapa,Brassica rapa,IVFCAASv1,PLANTS,Brapa_1.0
chlamydomonas_reinhardtii,Chlamydomonas reinhardtii,v3.1,PLANTS,chlamydomonas_reinhardtii_v3.1
cyanidioschyzon_merolae,Cyanidioschyzon merolae,ASM9120v1,PLANTS,cyanidioschyzon_merolae_ASM9120v1
glycine_max,Glycine max,V1.0,PLANTS,glycine_max_v1
hordeum_vulgare,Hordeum vulgare,ASM32608v1,PLANTS,hordeum_vulgare_ASM32608v1
leersia_perrieri,Leersia perrieri,Lperr_V1.4,PLANTS,Lperr_V1.4
medicago_truncatula,Medicago truncatula,MedtrA17_4.0,PLANTS,MedtrA17_4.0
musa_acuminata,Musa acuminata,MA1,PLANTS,MA1
oryza_barthii,Oryza barthii,O.barthii_v1,PLANTS,o.barthii_v1
oryza_brachyantha,Oryza brachyantha,Oryza_brachyantha.v1.4b,PLANTS,oryza_brachyantha.v1.4b
oryza_glaberrima,Oryza glaberrima,AGI1.1,PLANTS,oryza_glaberrima_V1
oryza_glumaepatula,Oryza glumaepatula,ALNU02000000,PLANTS,oryza_glumaepatula_v1.5
oryza_indica,Oryza indica,ASM465v1,PLANTS,oryza_indica_ASM465v1
oryza_longistaminata,Oryza longistaminata,O_longistaminata_v1.0,PLANTS,O_longistaminata_v1.0
oryza_meridionalis,Oryza meridionalis,Oryza_meridionalis_v1.3,PLANTS,Oryza_meridionalis_v1.3
oryza_nivara,Oryza nivara,AWHD00000000,PLANTS,Oryza_nivara_v1.0
oryza_punctata,Oryza punctata,AVCL00000000,PLANTS,Oryza_punctata_v1.2
oryza_rufipogon,Oryza rufipogon,OR_W1943,PLANTS,OR_W1943
oryza_sativa,Oryza sativa,IRGSP-1.0,PLANTS,IRGSP-1.0
ostreococcus_lucimarinus,Ostreococcus lucimarinus,ASM9206v1,PLANTS,ostreococcus_lucimarinus_ASM9206v1
physcomitrella_patens,Physcomitrella patens,ASM242v1,PLANTS,physcomitrella_patens_ASM242v1
populus_trichocarpa,Populus trichocarpa,JGI2.0,PLANTS,populus_trichocarpa_JGI2.0
prunus_persica,Prunus persica,Prupe1_0,PLANTS,Prupe1_0
selaginella_moellendorffii,Selaginella moellendorffii,v1.0,PLANTS,selaginella_moellendorffii_v1.0
setaria_italica,Setaria italica,JGIv2.0,PLANTS,setaria_italica_JGIv2.0
solanum_lycopersicum,Solanum lycopersicum,SL2.50,PLANTS,SL2.50
solanum_tuberosum,Solanum tuberosum,SolTub_3.0,PLANTS,SolTub_3.0
sorghum_bicolor,Sorghum bicolor,Sorbi1,PLANTS,Sorbi1
theobroma_cacao,Theobroma cacao,Theobroma_cacao_20110822,PLANTS,Theobroma_cacao_20110822
trifolium_pratense,Trifolium pratense,Trpr,PLANTS,Trpr
triticum_aestivum,Triticum aestivum,TGACv1,PLANTS,TGACv1
triticum_urartu,Triticum urartu,ASM34745v1,PLANTS,triticum_urartu_ASM34745v1
vitis_vinifera,Vitis vinifera,IGGP_12x,PLANTS,vitis_vinifera_IGGP_12x
zea_mays,Zea mays,AGPv4,PLANTS,AGPv4
